first_seen,last_seen,organization,title,location,posted_date,matched_keywords,relevance_score,url
2026-03-25 10:44:01,2026-03-25 12:28:02,IAEA,Internship - IT Development and Project Management,Austria-Vienna-Vienna-IAEA Headquarters,"2026-04-09, 11:59:00 PM",,0,https://iaea.taleo.net/careersection/ex/jobdetail.ftl?job=TAL-NA20260316-001&tz=GMT%2B01%3A00&tzname=Europe%2FVienna
2026-03-25 10:44:01,2026-03-25 12:28:02,IAEA,Administrative Officer (NE)(P4),Austria-Vienna-Vienna-IAEA Headquarters,"2026-04-30, 11:59:00 PM",,0,https://iaea.taleo.net/careersection/ex/jobdetail.ftl?job=2026/0154%20(012586)&tz=GMT%2B01%3A00&tzname=Europe%2FVienna
2026-03-25 10:44:01,2026-03-25 12:28:02,IAEA,Consultant - SoilFER Soil Spectroscopy,Austria-Lower Austria-Seibersdorf-IAEA Laboratories in Seibersdorf,"2026-03-31, 11:59:00 PM",,0,https://iaea.taleo.net/careersection/ex/jobdetail.ftl?job=TAL-NAFA20260120-001&tz=GMT%2B01%3A00&tzname=Europe%2FVienna
2026-03-25 10:44:01,2026-03-25 12:28:02,IAEA,Unit Head (Nuclear Security Detection Architecture)(P4),Austria-Vienna-Vienna-IAEA Headquarters,"2026-03-31, 11:59:00 PM",,0,https://iaea.taleo.net/careersection/ex/jobdetail.ftl?job=2025/0665%20(018644)&tz=GMT%2B01%3A00&tzname=Europe%2FVienna
2026-03-25 10:44:01,2026-03-25 12:28:02,IAEA,Senior Laboratory Technician (Stable Isotopes)(TERC)(G6),Austria-Lower Austria-Seibersdorf-IAEA Laboratories in Seibersdorf,"2026-04-03, 11:59:00 PM",,0,https://iaea.taleo.net/careersection/ex/jobdetail.ftl?job=2026/0137%20(219008)&tz=GMT%2B01%3A00&tzname=Europe%2FVienna
2026-03-25 10:44:01,2026-03-25 12:28:02,IAEA,Director (TC Divisions for Africa/Europe/Latin America and the Caribbean)(D1),Austria-Vienna-Vienna-IAEA Headquarters,"2026-04-07, 11:59:00 PM",,0,https://iaea.taleo.net/careersection/ex/jobdetail.ftl?job=2026/0141%20(011284)&tz=GMT%2B01%3A00&tzname=Europe%2FVienna
2026-03-25 10:44:01,2026-03-25 12:28:02,IAEA,Director (TC-Division of Programme Support and Coordination)(D1),Austria-Vienna-Vienna-IAEA Headquarters,"2026-04-07, 11:59:00 PM",,0,https://iaea.taleo.net/careersection/ex/jobdetail.ftl?job=2026/0146%20(010836)&tz=GMT%2B01%3A00&tzname=Europe%2FVienna
2026-03-25 10:44:01,2026-03-25 12:28:02,IAEA,Director (Division of General Services)(D1),Austria-Vienna-Vienna-IAEA Headquarters,"2026-04-07, 11:59:00 PM",,0,https://iaea.taleo.net/careersection/ex/jobdetail.ftl?job=2026/0142%20(000981)&tz=GMT%2B01%3A00&tzname=Europe%2FVienna
2026-03-25 10:44:01,2026-03-25 12:28:02,IAEA,Director (Division of Nuclear Installation Safety)(D1),Austria-Vienna-Vienna-IAEA Headquarters,"2026-04-07, 11:59:00 PM",,0,https://iaea.taleo.net/careersection/ex/jobdetail.ftl?job=2026/0143%20(004684)&tz=GMT%2B01%3A00&tzname=Europe%2FVienna
2026-03-25 10:44:01,2026-03-25 12:28:02,IAEA,Internship - Global Water Analysis Laboratories Network Promotion,Austria-Vienna-Vienna-IAEA Headquarters,"2026-04-02, 11:59:00 PM",,0,https://iaea.taleo.net/careersection/ex/jobdetail.ftl?job=TAL-NAPC20260309-001&tz=GMT%2B01%3A00&tzname=Europe%2FVienna
